Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-2-banos-1-garajes/22306228,$300.000.000,119 m²,3,2
"Apartamento en Venta, Miramar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-3-habitaciones-2-banos-1-garajes/2398-21323,$160.000.000,74 m²,3,2
"Apartamento en Venta, El Tabor, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-2-habitaciones-2-banos-1-garajes/2398-22054,$200.000.000,99 m²,2,2
"Apartamento en Venta, Los Continentes, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-sierra-3-habitaciones-2-banos-1-garajes/2398-21674,$132.000.000,58 m²,3,2
"Apartamento en Venta, Andalucía, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-3-habitaciones-2-banos-2-garajes/2398-21672,$692.000.000,206 m²,3,2
"Apartamento en Venta y Arriendo, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/2969-3933,$1.600.000.000,304 m²,3,4
"Apartamento en Venta, La Campiña, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-campina-3-habitaciones-3-banos-1-garajes/2969-3993,$230.000.000,98 m²,3,3
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-2-banos/9851-13842,$430.000.000,103 m²,3,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-1-banos-1-garajes/7515-1526199,$230.000.000,42 m²,1,1
"Apartamento en Venta, EL TABOR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-tabor-3-habitaciones-3-banos-2-garajes/7515-3093514,$539.000.000,140 m²,3,3
"Casa en Venta, SAN FELIPE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-san-felipe-3-habitaciones-1-banos-1-garajes/10926-3091170,$250.000.000,130 m²,3,1
"Casa en Venta, AMERICA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-prado-1-habitaciones-3-banos/671-65037,$780.000.000,682 m²,1,3
"Apartamento en Venta, Paraíso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-paraiso-2-habitaciones-2-banos-1-garajes/2361-85012,$250.000.000,70 m²,2,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/10926-3189846,$1.100.000.000,278 m²,3,4
"Apartamento en Venta, Altos Del Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos/411-35208,$458.000.000,135 m²,3,3
"Apartamento en Venta, Altos Del Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-1-banos-1-garajes/411-53692,$240.000.000,42 m²,1,1
"Apartamento en Venta, EL PORVENIR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-porvenir-2-habitaciones-2-banos/10926-3190963,$235.000.000,80 m²,2,2
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-3-banos-1-garajes/130-3726,$485.000.000,115 m²,3,3
