Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-3-banos-1-garajes/710-M2790909,$310.000.000,86 m²,3,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/2230-6929,$650.000.000,150 m²,3,4
"Apartamento en Venta, El Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-1-habitaciones-1-banos-1-garajes/2230-6394,$175.000.000,35 m²,1,1
"Casa en Venta, El Poblado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-poblado-4-habitaciones-3-banos-3-garajes/2230-7122,$2.625.548.000,259 m²,4,3
"Lote o Casalote en Venta, CIRCUNVALAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-san-pedro-alejandrino/2398-22605,$2.800.000.000,0 m²,,
"Casa en Venta, La Cumbre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-cumbre-3-habitaciones-4-banos-1-garajes/2398-20671,$870.000.000,380 m²,3,4
"Apartamento en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-campestre-2-habitaciones-3-banos-1-garajes/2398-22353,$238.000.000,67 m²,2,3
"Casa en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-campestre-4-habitaciones-4-banos-2-garajes/2969-4058,$1.380.000.000,344 m²,4,4
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-1-garajes/2969-4239,$495.000.000,117 m²,3,3
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-3-banos-1-garajes/2969-3910,$330.000.000,99 m²,3,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/2969-4343,$900.000.000,177 m²,3,3
"Apartamento en Venta, LAS DELICIAS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-las-delicias-3-habitaciones-2-banos-1-garajes/11069-M2615121,$260.000.000,113 m²,3,2
"Apartamento en Venta, Villa del este, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-del-este-2-habitaciones-3-banos-1-garajes/7515-411268,$430.413.000,108 m²,2,3
"Apartamento en Venta, Centro, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-rosario-1-habitaciones-1-banos/130-1508,$130.000.000,59 m²,1,1
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-5-habitaciones-5-banos-4-garajes/7515-1224691,$1.500.000.000,750 m²,5,5
"Casa en Venta, VILLA CAMPESTRE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-5-banos-2-garajes/10365-M2361301,$1.200.000.000,247 m²,3,5
"Apartamento en Venta y Arriendo, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-garajes/130-1269,$650.000.000,100 m²,,
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-2-habitaciones-3-banos-2-garajes/2821-M2622624,$420.000.000,97 m²,2,3
"Apartamento en Venta, boston, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-boston-3-habitaciones-2-banos-1-garajes/671-83176,$275.000.000,84 m²,3,2
"Apartamento en Venta, bella arena, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-blanca-3-habitaciones-1-banos/671-83289,$200.000.000,99 m²,3,1
"Apartamento en Venta, VILLA DEL ESTE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-del-este-1-habitaciones-1-banos-1-garajes/671-83014,$210.000.000,47 m²,1,1
"Apartamento en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-2-banos-1-garajes/671-81893,$180.000.000,70 m²,3,2
"Casa en Venta y Arriendo, EL POBLADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-poblado-3-habitaciones-2-banos-2-garajes/671-83169,$800.000.000,233 m²,3,2
"Casa en Venta, paraiso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-paraiso-4-habitaciones-2-banos/671-83013,$630.000.000,194 m²,4,2
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/671-82188,$780.000.000,159 m²,3,4
"Apartamento en Venta, San Felipe, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-felipe-3-habitaciones-2-banos/9851-100221,$145.000.000,73 m²,3,2
"Casa en Venta, Boston, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-colombia-5-habitaciones-5-banos-1-garajes/9851-100853,$780.000.000,330 m²,5,5
"Casa en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-4-habitaciones-5-banos-3-garajes/10881-3322805,$1.500.000.000,400 m²,4,5
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-5-banos-1-garajes/9877-M2735963,$480.000.000,117 m²,3,5
"Apartamento en Venta y Arriendo, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-4-banos-1-garajes/9851-100673,$430.000.000,187 m²,3,4
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-2-garajes/10338-495371,$850.000.000,0 m²,3,5
"Apartamento en Venta, EL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos-1-garajes/9877-M2735957,$350.000.000,139 m²,3,2
"Apartamento en Venta, Santa Mónica, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-3-banos-2-garajes/130-3810,$450.000.000,145 m²,3,3
"Apartamento en Venta, ALTOS DE BUENAVISTA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-4-banos-2-garajes/10365-M2830181,$730.000.000,156 m²,3,4
"Casa en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-3-habitaciones-4-banos-2-garajes/10365-M2830191,$580.000.000,167 m²,3,4
"Apartamento en Venta, RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-riomar-3-habitaciones-5-banos-2-garajes/10338-499153,$1.060.806.000,219 m²,3,5
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-vicente-3-habitaciones-3-banos-2-garajes/9851-12609,$410.000.000,130 m²,3,3
"Casa en Venta, EL TABOR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-tabor-4-habitaciones-4-banos-2-garajes/11325-1925340,$350.000.000,114 m²,4,4
"Casa en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-ciudad-jardin-5-habitaciones-5-banos-3-garajes/12287-107,$1.100.000.000,480 m²,5,5
"Apartamento en Venta, LOS ANDES, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-los-andes-3-habitaciones-2-banos-1-garajes/11069-M2592992,$175.000.000,68 m²,3,2
"Apartamento en Venta, EL CARMEN, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-carmen-3-habitaciones-2-banos-1-garajes/10926-3147740,$160.000.000,0 m²,3,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-1-habitaciones-1-banos-1-garajes/11325-1647016,$280.000.000,58 m²,1,1
"Apartamento en Venta, Recreo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-recreo-2-habitaciones-2-banos-1-garajes/11325-3321752,$230.000.000,70 m²,2,2
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-2-banos-1-garajes/9851-100225,$270.000.000,115 m²,3,2
"Casa en Venta, BELLA VISTA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-san-francisco-3-habitaciones-3-banos-1-garajes/11328-M2791549,$720.000.000,299.2 m²,3,3
"Casa en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-santos-4-habitaciones-5-banos-2-garajes/11069-M2622406,$1.250.000.000,400 m²,4,5
"Apartamento en Venta, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-2-banos-1-garajes/22306190,$270.000.000,104 m²,3,2
"Apartamento en Venta, Paraíso, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-paraiso-3-habitaciones-2-banos-2-garajes/2398-19294,$495.000.000,143 m²,3,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-2-banos-1-garajes/2398-18886,$688.223.000,160 m²,3,2
"Apartamento en Venta, Altoprado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-golf-3-habitaciones-3-banos-2-garajes/671-67651,$450.000.000,138 m²,3,3
"Lote o Casalote en Venta, EL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-el-prado/671-78430,$1.850.000.000,430 m²,,
"Casa en Venta, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-riomar-4-habitaciones-4-banos-3-garajes/671-70742,$800.000.000,270 m²,4,4
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-4-habitaciones-5-banos-3-garajes/671-69067,$950.000.000,325 m²,4,5
"Apartamento en Venta, La Castellana, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-2-garajes/671-77007,$940.000.000,199 m²,3,3
"Apartamento en Venta, BARRANQUILLA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-santa-monica-3-habitaciones-3-banos-2-garajes/603-M1978143,$810.000.000,185 m²,3,3
"Apartamento en Venta, LAS DELICIAS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-las-delicias-2-habitaciones-2-banos-1-garajes/11069-M2850187,$175.000.000,62 m²,2,2
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-3-banos-2-garajes/2361-94510,$500.000.000,101 m²,2,3
"Casa en Venta, El Poblado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-riomar-4-habitaciones-5-banos-4-garajes/2230-7121,$3.600.000.000,700 m²,4,5
"Casa en Venta, El Poblado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-campina-4-habitaciones-5-banos-4-garajes/2230-7119,$1.500.000.000,505 m²,4,5
"Casa en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-4-banos-2-garajes/2969-3535,$1.350.000.000,330 m²,3,4
"Apartamento en Venta, Buenavista, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-4-habitaciones-4-banos-2-garajes/2969-4330,$1.100.000.000,225 m²,4,4
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-santa-monica-3-habitaciones-3-banos-2-garajes/2969-3965,$350.000.000,154 m²,3,3
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-3-banos-1-garajes/411-M2455310,$335.000.000,74.4 m²,2,3
"Apartamento en Venta y Arriendo, SAN ISIDRO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-san-isidro-3-habitaciones-2-banos-1-garajes/671-82419,$168.000.000,65 m²,3,2
"Apartamento en Venta, ROSARIO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-rosario-1-habitaciones-1-banos/671-81153,$110.000.000,53 m²,1,1
"Apartamento en Venta y Arriendo, ALTOS DEL LIMON, Barranqui…",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-2-banos-1-garajes/671-82183,$310.000.000,83 m²,3,2
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-3-banos-2-garajes/10338-595679,$550.000.000,160 m²,3,3
"Apartamento en Venta, UB. ALTOS DE PARQUE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-1-habitaciones-5-banos-2-garajes/10338-598579,$940.000.000,0 m²,1,5
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-2-habitaciones-2-banos/411-57308,$250.000.000,80 m²,2,2
"Apartamento en Venta, CIUDAD JARDIN, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-3-banos-2-garajes/710-3146087,$400.000.000,114 m²,3,3
"Casa en Venta, La Concepción, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-concepcion-4-habitaciones-3-banos-3-garajes/2398-20670,$540.000.000,325 m²,4,3
"Apartamento en Venta, Los Alpes, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-campo-alegre-2-habitaciones-3-banos-1-garajes/2398-22541,$350.000.000,82 m²,2,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-2-banos-1-garajes/2398-20942,$290.000.000,130 m²,2,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-2-habitaciones-2-banos-1-garajes/9851-13650,$270.000.000,68 m²,2,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-4-banos-2-garajes/10338-461792,$680.000.000,240 m²,1,4
"Casa en Venta y Arriendo, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-altos-del-prado-4-habitaciones-3-banos/130-3208,$1.250.000.000,350 m²,4,3
"Apartamento en Venta, Andalucía, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-3-habitaciones-3-banos-1-garajes/130-3426,$285.000.000,100 m²,3,3
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/10338-479234,$460.000.000,0 m²,3,4
"Apartamento en Venta, UB. ALTOS DE PARQUE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-4-banos/10338-1907677,$1.000.000.000,199 m²,3,4
"Apartamento en Venta, ALTOS DE RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-3-habitaciones-3-banos-2-garajes/9851-100220,$650.000.000,136 m²,3,3
"Apartamento en Venta y Arriendo, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/9851-13648,$1.150.000.000,214 m²,3,4
"Apartamento en Venta, ALTOS DEL LIMON, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-3-habitaciones-5-banos-3-garajes/10338-497258,$1.250.000.000,334 m²,3,5
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-1-garajes/130-3053,$435.000.000,121 m²,3,3
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-1-habitaciones-3-banos-2-garajes/10338-513353,$530.000.000,0 m²,1,3
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-4-banos-2-garajes/10338-486141,$450.000.000,0 m²,1,4
"Apartamento en Venta, PARAISO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-2-garajes/10338-511694,$480.000.000,0 m²,3,5
"Apartamento en Venta y Arriendo, RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-3-habitaciones-3-banos-1-garajes/9851-101093,$280.000.000,115 m²,3,3
"Casa en Venta, Villa del Este, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-andalucia-5-habitaciones-4-banos-2-garajes/130-2634,$850.000.000,300 m²,5,4
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-2-habitaciones-3-banos-2-garajes/9851-100674,$280.000.000,80 m²,2,3
"Casa en Venta, LAS DELICIAS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-las-delicias-3-habitaciones-1-banos/10926-3147507,$470.000.000,204 m²,3,1
"Apartamento en Venta, ALTOS DE RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-5-banos-2-garajes/10926-3148353,$950.000.000,192 m²,3,5
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-4-banos-2-garajes/10926-3148044,$540.000.000,136 m²,3,4
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-limon-4-habitaciones-5-banos-2-garajes/11325-3318225,$800.000.000,354 m²,4,5
"Casa en Venta, Los Andes, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-los-andes-3-habitaciones-3-banos-1-garajes/10926-3148453,$265.000.000,103 m²,3,3
"Apartamento en Venta, ALTOS DE LIMON, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-limon-4-habitaciones-4-banos-1-garajes/11832-M2791570,$535.000.000,142.5 m²,4,4
"Apartamento en Venta, Altos Del Limonar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-4-banos-2-garajes/10959-391,$495.000.000,148 m²,3,4
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/22306197,$700.000.000,289 m²,3,3
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-2-banos-1-garajes/2398-18885,$450.780.000,120 m²,3,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-2-banos-1-garajes/2398-18887,$709.000.000,177 m²,3,2
"Apartamento en Venta y Arriendo, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos-2-garajes/2398-18873,$600.000.000,185 m²,3,2
"Apartamento en Venta, VILLA SANTOS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-4-habitaciones-4-banos-1-garajes/223-1831,$465.000.000,117360 m²,4,4
"Apartamento en Venta, SANTANA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-santana-2-habitaciones-2-banos-1-garajes/671-67691,$205.000.000,78 m²,2,2
"Apartamento en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/130-173,$850.000.000,280 m²,3,3
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-nuevo-horizonte-1-habitaciones-1-banos-1-garajes/130-807,$185.000.000,34 m²,1,1
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-2-habitaciones-1-banos-1-garajes/130-584,$230.000.000,85 m²,2,1
"Apartamento en Venta, LOS ALPES, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-2-habitaciones-2-banos-1-garajes/7515-3146236,$250.000.000,68 m²,2,2
"Casa en Venta, CASTELLANA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-ub.-altos-de-parque-3-habitaciones-3-banos-2-garajes/10365-M2664780,$950.000.000,240 m²,3,3
"Apartamento en Venta, UB. ALTOS DE PARQUE, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-1-habitaciones-3-banos-2-garajes/10338-514356,$405.265.564,0 m²,1,3
"Apartamento en Venta y Arriendo, Villa Country, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-5-banos-2-garajes/130-2371,$400.000.000,160 m²,3,5
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-2-banos-2-garajes/10338-334333,$650.000.000,125 m²,2,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-5-banos-2-garajes/10338-567219,$1.800.000.000,340 m²,3,5
"Apartamento en Venta, RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-4-banos-2-garajes/10338-407466,$540.000.000,125 m²,1,4
"Apartamento en Venta, ALTOS DE RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-4-banos-3-garajes/10338-2660217,$1.300.000.000,250 m²,3,4
"Apartamento en Venta, Villa del Este, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-del-este-3-habitaciones-4-banos-1-garajes/130-2369,$370.000.000,132 m²,3,4
"Casa en Venta, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-andalucia-5-habitaciones-4-banos-2-garajes/9851-13734,$2.200.000.000,635 m²,5,4
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-2-garajes/10338-464163,$388.740.000,80 m²,2,
"Apartamento en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-3-banos-2-garajes/10338-569862,$440.000.000,0 m²,3,3
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-2-garajes/10338-464169,$893.188.990,175 m²,3,
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-2-garajes/10338-464114,$677.309.540,133 m²,3,
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-2-banos-1-garajes/130-3938,$285.000.000,80 m²,3,2
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-1-habitaciones-5-banos-2-garajes/10338-514759,$680.000.000,0 m²,1,5
"Apartamento en Venta, El Recreo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-recreo-3-habitaciones-4-banos-1-garajes/848-1505,$440.000.000,132 m²,3,4
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-2-banos/2398-16216,$200.000.000,92 m²,3,2
"Apartamento en Venta, Andalucía, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-andalucia-2-habitaciones-2-banos-1-garajes/2398-21578,$299.000.000,81 m²,2,2
"Apartamento en Venta, El Recreo, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-recreo-3-habitaciones-2-banos-1-garajes/2398-22534,$150.000.000,79 m²,3,2
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-2-banos-1-garajes/2398-21255,$301.809.000,90 m²,3,2
"Casa en Venta, El Tabor, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-tabor-3-habitaciones-3-banos-1-garajes/2398-22538,$380.000.000,140 m²,3,3
"Apartamento en Venta, CIUDAD JARDIN, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-nuevo-horizonte-1-habitaciones-1-banos-1-garajes/4969-M2548308,$185.000.000,39 m²,1,1
"Apartamento en Venta, Miramar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-3-habitaciones-2-banos-1-garajes/411-57741,$230.000.000,74 m²,3,2
"Apartamento en Venta, Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-riomar-3-habitaciones-2-banos-1-garajes/2230-6817,$370.000.000,123 m²,3,2
